"","ExtinctRisk","BodySize"
"267","Endangered",21.8
"268","Least Concern",120
"269","Least Concern",40.9
"271","Least Concern",49.6
"272","Endangered",66
"273","Critical",14.8
"274","Least Concern",35.1
"275","Vulnerable",28.9
"276","Least Concern",44.4
"277","Least Concern",15.9
"278","Least Concern",44.4
"279","Least Concern",50.8
"280","Least Concern",25.6
"281","Least Concern",31
"282","Vulnerable",32
"283","Least Concern",33.1
"284","Vulnerable",28.5
"285","Critical",44.6
"287","Least Concern",40
"288","Least Concern",38.3
"289","Least Concern",32.9
"290","Endangered",11.4
"291","Least Concern",44.9
"292","Least Concern",14.4
"293","Least Concern",29.4
"294","Vulnerable",67.8
"295","Least Concern",28.9
"296","Least Concern",52.1
"297","Least Concern",37
"298","Least Concern",22.9
"299","Least Concern",NA
"300","Least Concern",50
