"","Family","RedList","BodySize","HabitatType","HPD","ExtinctRisk","Habitat","log_BodySize","sqrt_BodySize"
"58","PARASTACIDAE","2",20,1,2.088888889,"Near Threatened","Streams/River",2.99573227355399,4.47213595499958
"59","PARASTACIDAE","2",44,2,2.351851852,"Near Threatened","Lakes/Wetland",3.78418963391826,6.6332495807108
"60","CAMBARIDAE","1",60.1,3,43.07049358,"Least Concern","Burrows",4.09600984154116,7.75241897732572
"61","CAMBARIDAE","1",43.5,1,31.19267468,"Least Concern","Streams/River",3.77276093809464,6.59545297913646
"62","PARASTACIDAE","5",21.3,3,0,"Critical","Burrows",3.05870707271538,4.61519230368573
"63","CAMBARIDAE","4",25,4,39.3653484,"Endangered","Caves",3.2188758248682,5
"64","PARASTACIDAE","1",88.4,1,6.109473684,"Least Concern","Streams/River",4.4818719696436,9.40212741883453
"65","CAMBARIDAE","1",40.7,1,57.12072072,"Least Concern","Streams/River",3.70622809244855,6.37965516309463
"66","CAMBARIDAE","1",55,2,77.48672401,"Least Concern","Lakes/Wetland",4.00733318523247,7.41619848709566
"67","CAMBARIDAE","1",57,2,34.37626185,"Least Concern","Lakes/Wetland",4.04305126783455,7.54983443527075
"68","PARASTACIDAE","3",151.1,1,4.581743869,"Vulnerable","Streams/River",5.01794186927869,12.2922739962954
"69","PARASTACIDAE","1",28.7,3,4.549382716,"Least Concern","Burrows",3.35689712276558,5.35723809439155
"70","CAMBARIDAE","1",35.9,1,11.63236364,"Least Concern","Streams/River",3.58073729549423,5.9916608715781
"71","CAMBARIDAE","1",25.4,2,21.21618357,"Least Concern","Lakes/Wetland",3.23474917402449,5.03984126734166
"72","CAMBARIDAE","4",29,4,76.55674518,"Endangered","Caves",3.36729582998647,5.3851648071345
"73","CAMBARIDAE","4",22,1,38.61310452,"Endangered","Streams/River",3.09104245335832,4.69041575982343
"74","CAMBARIDAE","1",31.9,1,45.82143845,"Least Concern","Streams/River",3.4626060097908,5.64800849857718
"75","PARASTACIDAE","1",27.7,3,1.886227545,"Least Concern","Burrows",3.32143241319329,5.26307894677631
"76","CAMBARIDAE","1",27,2,18.52855603,"Least Concern","Lakes/Wetland",3.29583686600433,5.19615242270663
"77","CAMBARIDAE","3",27.4,4,45.92040359,"Vulnerable","Caves",3.31054301339402,5.23450093132096
"78","PARASTACIDAE","1",32.5,3,0.032020611,"Least Concern","Burrows",3.48124008933569,5.70087712549569
"79","CAMBARIDAE","4",35,1,71.80923695,"Endangered","Streams/River",3.55534806148941,5.91607978309962
"80","PARASTACIDAE","1",35.5,3,5.929133858,"Least Concern","Burrows",3.56953269648137,5.95818764390649
"81","PARASTACIDAE","1",39.3,3,20.29544423,"Least Concern","Burrows",3.67122451887522,6.26897120746299
"82","CAMBARIDAE","1",28,1,29.21041056,"Least Concern","Streams/River",3.3322045101752,5.29150262212918
"83","PARASTACIDAE","1",23.3,3,1.188811189,"Least Concern","Burrows",3.14845336057165,4.82700735445887
"84","CAMBARIDAE","1",35,1,23.3958539,"Least Concern","Streams/River",3.55534806148941,5.91607978309962
"85","PARASTACIDAE","3",145,1,10.46351931,"Vulnerable","Streams/River",4.97673374242057,12.0415945787923
"86","PARASTACIDAE","2",30,3,0,"Near Threatened","Burrows",3.40119738166216,5.47722557505166
"87","PARASTACIDAE","1",36.4,1,22.34247629,"Least Concern","Streams/River",3.5945687746427,6.03324125159934
"88","CAMBARIDAE","1",32.4,1,42.11677664,"Least Concern","Streams/River",3.47815842279828,5.69209978830308
"89","CAMBARIDAE","1",30.5,1,25.56221198,"Least Concern","Streams/River",3.41772668361337,5.52268050859363
"90","CAMBARIDAE","1",35,1,41.62275449,"Least Concern","Streams/River",3.55534806148941,5.91607978309962
