"","Family","RedList","BodySize","HabitatType","HPD","ExtinctRisk","Habitat","log_BodySize","sqrt_BodySize"
"253","CAMBARIDAE","4",36.4,1,29.64893617,"Endangered","Streams/River",3.5945687746427,6.03324125159934
"254","CAMBARIDAE","2",18,2,18.14761631,"Near Threatened","Lakes/Wetland",2.89037175789616,4.24264068711928
"255","PARASTACIDAE","5",31.5,3,1,"Critical","Burrows",3.44998754583159,5.61248608016091
"256","PARASTACIDAE","1",36.7,3,83.46938776,"Least Concern","Burrows",3.60277675506052,6.05805249234438
"257","CAMBARIDAE","1",36.5,3,69.96595888,"Least Concern","Burrows",3.59731226058845,6.04152298679729
"258","PARASTACIDAE","1",38,1,4.886073907,"Least Concern","Streams/River",3.63758615972639,6.16441400296898
"259","PARASTACIDAE","4",79.1,1,73.18939394,"Endangered","Streams/River",4.37071287477361,8.89381807774366
"260","CAMBARIDAE","1",74,2,37.01036621,"Least Concern","Lakes/Wetland",4.30406509320417,8.60232526704263
"261","PARASTACIDAE","4",174.3,1,12.86923077,"Endangered","Streams/River",5.16077795252597,13.2022725316515
"262","CAMBARIDAE","1",25.5,1,47.54032773,"Least Concern","Streams/River",3.23867845216438,5.04975246918104
"263","PARASTACIDAE","4",15,3,3,"Endangered","Burrows",2.70805020110221,3.87298334620742
"264","PARASTACIDAE","1",35.7,3,0.783919598,"Least Concern","Burrows",3.57515068878559,5.97494769851586
"265","PARASTACIDAE","5",50.6,1,0.67087392,"Critical","Streams/River",3.92395157629342,7.1133676975115
"266","CAMBARIDAE","4",39.7,3,43.67946257,"Endangered","Burrows",3.68135118769314,6.30079360080935
"267","CAMBARIDAE","4",21.8,1,11.05208333,"Endangered","Streams/River",3.08190996979504,4.6690470119715
"268","PARASTACIDAE","1",120,2,2.328091446,"Least Concern","Lakes/Wetland",4.78749174278205,10.9544511501033
"269","CAMBARIDAE","1",40.9,1,41.75661216,"Least Concern","Streams/River",3.71113006304876,6.39531078212779
"271","PARASTACIDAE","1",49.6,1,5.188123752,"Least Concern","Streams/River",3.90399083373088,7.0427267446636
"272","PARASTACIDAE","4",66,1,1.516703786,"Endangered","Streams/River",4.18965474202643,8.12403840463596
"273","PARASTACIDAE","5",14.8,3,3,"Critical","Burrows",2.69462718077007,3.84707681233427
"274","CAMBARIDAE","1",35.1,1,15.34782609,"Least Concern","Streams/River",3.55820113047182,5.92452529743945
"275","PARASTACIDAE","3",28.9,1,344.4268503,"Vulnerable","Streams/River",3.36384159511839,5.37587202228625
"276","CAMBARIDAE","1",44.4,1,55.56850716,"Least Concern","Streams/River",3.79323946943818,6.66333249958307
"277","CAMBARIDAE","1",15.9,2,37.36755369,"Least Concern","Lakes/Wetland",2.76631910922619,3.98748040747538
"278","CAMBARIDAE","1",44.4,1,29.05867395,"Least Concern","Streams/River",3.79323946943818,6.66333249958307
"279","CAMBARIDAE","1",50.8,1,31.32429245,"Least Concern","Streams/River",3.92789635458444,7.12741187248218
"280","CAMBARIDAE","1",25.6,3,50.59562842,"Least Concern","Burrows",3.24259235148552,5.05964425626941
"281","CAMBARIDAE","1",31,1,77.987562,"Least Concern","Streams/River",3.43398720448515,5.56776436283002
"282","CAMBARIDAE","3",32,2,140.5603113,"Vulnerable","Lakes/Wetland",3.46573590279973,5.65685424949238
"283","PARASTACIDAE","1",33.1,3,8.506811989,"Least Concern","Burrows",3.49953328238302,5.75325994545701
"284","PARASTACIDAE","3",28.5,3,120.875,"Vulnerable","Burrows",3.3499040872746,5.33853912601566
"285","PARASTACIDAE","5",44.6,1,299.25,"Critical","Streams/River",3.79773385902602,6.6783231428256
"287","CAMBARIDAE","1",40,2,28.29624506,"Least Concern","Lakes/Wetland",3.68887945411394,6.32455532033676
"288","CAMBARIDAE","1",38.3,2,53.84437899,"Least Concern","Lakes/Wetland",3.6454498961866,6.18869937870632
"289","CAMBARIDAE","1",32.9,1,82.39090909,"Least Concern","Streams/River",3.49347265777133,5.73585215987999
"290","PARASTACIDAE","4",11.4,3,70.18844492,"Endangered","Burrows",2.43361335540045,3.37638860322683
"291","CAMBARIDAE","1",44.9,1,45.23915204,"Least Concern","Streams/River",3.80443779474821,6.70074622710038
"292","CAMBARIDAE","1",14.4,2,36.47222765,"Least Concern","Lakes/Wetland",2.66722820658195,3.79473319220206
"293","CAMBARIDAE","1",29.4,1,46.78723404,"Least Concern","Streams/River",3.38099467434464,5.42217668469038
"294","PARASTACIDAE","3",67.8,2,16,"Vulnerable","Lakes/Wetland",4.21656219494635,8.23407554009556
"295","PARASTACIDAE","1",28.9,3,0,"Least Concern","Burrows",3.36384159511839,5.37587202228625
"296","CAMBARIDAE","1",52.1,3,70.40960546,"Least Concern","Burrows",3.95316494875932,7.21803297304744
"297","CAMBARIDAE","1",37,1,29.4973545,"Least Concern","Streams/River",3.61091791264422,6.08276253029822
"298","PARASTACIDAE","1",22.9,3,0,"Least Concern","Burrows",3.13113691056019,4.78539444560216
"299","CAMBARIDAE","1",NA,1,79.66530889,"Least Concern","Streams/River",NA,NA
"300","CAMBARIDAE","1",50,3,20.4346274,"Least Concern","Burrows",3.91202300542815,7.07106781186548
