"","Family","BodySize"
"198","PARASTACIDAE",42.5
"199","CAMBARIDAE",52
"200","CAMBARIDAE",31.4
"201","CAMBARIDAE",38
"202","CAMBARIDAE",24.5
"203","PARASTACIDAE",27
"204","CAMBARIDAE",42.1
"205","CAMBARIDAE",35
"206","CAMBARIDAE",35
"207","CAMBARIDAE",40.5
"208","CAMBARIDAE",40.8
"209","CAMBARIDAE",42.2
"210","CAMBARIDAE",61
"211","CAMBARIDAE",51
"212","CAMBARIDAE",37.4
"213","PARASTACIDAE",80
"214","CAMBARIDAE",36
"215","CAMBARIDAE",39.7
"216","PARASTACIDAE",51
"217","CAMBARIDAE",32.5
"218","CAMBARIDAE",42
"219","CAMBARIDAE",42.9
"220","CAMBARIDAE",30
"221","CAMBARIDAE",28.9
"222","CAMBARIDAE",35
"223","CAMBARIDAE",65
"224","CAMBARIDAE",45
"225","PARASTACIDAE",75.3
"226","CAMBARIDAE",45
"227","CAMBARIDAE",32.6
"228","CAMBARIDAE",16.2
"229","PARASTACIDAE",32.5
"230","PARASTACIDAE",40.5
"231","CAMBARIDAE",45
"232","CAMBARIDAE",37.2
"233","PARASTACIDAE",44.9
"234","CAMBARIDAE",31.8
"235","PARASTACIDAE",90
"236","CAMBARIDAE",168
"237","PARASTACIDAE",24.4
"238","CAMBARIDAE",36
"239","PARASTACIDAE",40.2
"240","PARASTACIDAE",17.9
"241","CAMBARIDAE",57
"242","CAMBARIDAE",45.6
"243","PARASTACIDAE",49
"244","PARASTACIDAE",39
"245","CAMBARIDAE",48
"246","CAMBARIDAE",20
"247","CAMBARIDAE",58.9
"248","PARASTACIDAE",41.9
"250","PARASTACIDAE",26
"251","CAMBARIDAE",27
"252","CAMBARIDAE",45
"253","CAMBARIDAE",36.4
"254","CAMBARIDAE",18
"255","PARASTACIDAE",31.5
"256","PARASTACIDAE",36.7
"257","CAMBARIDAE",36.5
"258","PARASTACIDAE",38
"259","PARASTACIDAE",79.1
"260","CAMBARIDAE",74
"261","PARASTACIDAE",174.3
"262","CAMBARIDAE",25.5
"263","PARASTACIDAE",15
"264","PARASTACIDAE",35.7
"265","PARASTACIDAE",50.6
"266","CAMBARIDAE",39.7
"267","CAMBARIDAE",21.8
"268","PARASTACIDAE",120
"269","CAMBARIDAE",40.9
"271","PARASTACIDAE",49.6
"272","PARASTACIDAE",66
"273","PARASTACIDAE",14.8
"274","CAMBARIDAE",35.1
"275","PARASTACIDAE",28.9
"276","CAMBARIDAE",44.4
"277","CAMBARIDAE",15.9
"278","CAMBARIDAE",44.4
"279","CAMBARIDAE",50.8
"280","CAMBARIDAE",25.6
"281","CAMBARIDAE",31
"282","CAMBARIDAE",32
"283","PARASTACIDAE",33.1
"284","PARASTACIDAE",28.5
"285","PARASTACIDAE",44.6
"287","CAMBARIDAE",40
"288","CAMBARIDAE",38.3
"289","CAMBARIDAE",32.9
"290","PARASTACIDAE",11.4
"291","CAMBARIDAE",44.9
"292","CAMBARIDAE",14.4
"293","CAMBARIDAE",29.4
"294","PARASTACIDAE",67.8
"295","PARASTACIDAE",28.9
"296","CAMBARIDAE",52.1
"297","CAMBARIDAE",37
"298","PARASTACIDAE",22.9
"299","CAMBARIDAE",NA
"300","CAMBARIDAE",50
