"","Habitat","BodySize"
"257","Burrows",36.5
"258","Streams/River",38
"259","Streams/River",79.1
"260","Lakes/Wetland",74
"261","Streams/River",174.3
"262","Streams/River",25.5
"263","Burrows",15
"264","Burrows",35.7
"265","Streams/River",50.6
"266","Burrows",39.7
"267","Streams/River",21.8
"268","Lakes/Wetland",120
"269","Streams/River",40.9
"271","Streams/River",49.6
"272","Streams/River",66
"273","Burrows",14.8
"274","Streams/River",35.1
"275","Streams/River",28.9
"276","Streams/River",44.4
"277","Lakes/Wetland",15.9
"278","Streams/River",44.4
"279","Streams/River",50.8
"280","Burrows",25.6
"281","Streams/River",31
"282","Lakes/Wetland",32
"283","Burrows",33.1
"284","Burrows",28.5
"285","Streams/River",44.6
"287","Lakes/Wetland",40
"288","Lakes/Wetland",38.3
"289","Streams/River",32.9
"290","Burrows",11.4
"291","Streams/River",44.9
"292","Lakes/Wetland",14.4
"293","Streams/River",29.4
"294","Lakes/Wetland",67.8
"295","Burrows",28.9
"296","Burrows",52.1
"297","Streams/River",37
"298","Burrows",22.9
"299","Streams/River",NA
"300","Burrows",50
